city,date,temp_max,temp_min,precipitation,precip_probability,wind_speed,wind_gust,weather_code,latitude,longitude,day,month,weekday,forecast_day,is_weekend,temperature_category,rain_category,wind_category,temp_range,risk_score,risk_level,risk_reason,is_risky,is_heatwave,is_heavy_rain,is_strong_wind
Casablanca,2026-09-15,28.8,21.6,0.0,0,10.7,29.9,45,33.5992,-7.62,15,9,Tuesday,1,False,Warm,No Rain,Calm,7.2,0,Low,Normal Conditions,False,False,False,False
Casablanca,2026-09-16,25.9,21.0,0.0,0,14.1,36.0,45,33.5992,-7.62,16,9,Wednesday,2,False,Warm,No Rain,Calm,4.9,0,Low,Normal Conditions,False,False,False,False
Casablanca,2026-09-17,25.7,19.9,0.0,0,12.0,33.8,3,33.5992,-7.62,17,9,Thursday,3,False,Warm,No Rain,Calm,5.8,0,Low,Normal Conditions,False,False,False,False
Casablanca,2026-09-18,25.9,19.5,0.0,3,13.0,35.6,45,33.5992,-7.62,18,9,Friday,4,False,Warm,No Rain,Calm,6.4,0,Low,Normal Conditions,False,False,False,False
Casablanca,2026-09-19,26.7,19.4,0.0,0,12.4,32.8,2,33.5992,-7.62,19,9,Saturday,5,True,Warm,No Rain,Calm,7.3,0,Low,Normal Conditions,False,False,False,False
Casablanca,2026-09-20,31.8,20.6,0.0,0,11.6,29.9,2,33.5992,-7.62,20,9,Sunday,6,True,Warm,No Rain,Calm,11.2,5,Low,Normal Conditions,False,False,False,False
Casablanca,2026-09-21,30.3,21.6,0.0,0,13.6,36.0,2,33.5992,-7.62,21,9,Monday,7,False,Warm,No Rain,Calm,8.7,5,Low,Normal Conditions,False,False,False,False
Fès,2026-09-15,34.8,24.0,0.0,0,14.3,37.1,1,34.0433,-5.0033,15,9,Tuesday,1,False,Warm,No Rain,Calm,10.8,15,Low,Normal Conditions,False,False,False,False
Fès,2026-09-16,31.7,21.0,0.0,0,17.1,41.4,2,34.0433,-5.0033,16,9,Wednesday,2,False,Warm,No Rain,Calm,10.7,9,Low,Normal Conditions,False,False,False,False
Fès,2026-09-17,29.3,19.2,0.0,0,12.7,33.5,3,34.0433,-5.0033,17,9,Thursday,3,False,Warm,No Rain,Calm,10.1,0,Low,Normal Conditions,False,False,False,False
Fès,2026-09-18,30.7,18.4,0.0,5,9.9,27.0,2,34.0433,-5.0033,18,9,Friday,4,False,Warm,No Rain,Calm,12.3,5,Low,Normal Conditions,False,False,False,False
Fès,2026-09-19,33.4,20.9,0.0,3,18.8,47.5,2,34.0433,-5.0033,19,9,Saturday,5,True,Warm,No Rain,Calm,12.5,19,Low,Normal Conditions,False,False,False,False
Fès,2026-09-20,33.9,22.4,0.0,0,20.0,48.6,1,34.0433,-5.0033,20,9,Sunday,6,True,Warm,No Rain,Moderate,11.5,23,Medium,Normal Conditions,False,False,False,False
Fès,2026-09-21,33.8,21.5,0.0,0,14.4,37.4,0,34.0433,-5.0033,21,9,Monday,7,False,Warm,No Rain,Calm,12.3,15,Low,Normal Conditions,False,False,False,False
Marrakech,2026-09-15,38.4,25.5,0.0,3,13.1,38.2,3,31.6295,-7.9811,15,9,Tuesday,1,False,Hot,No Rain,Calm,12.9,25,Medium,High Temperature,False,False,False,False
Marrakech,2026-09-16,34.8,21.8,0.0,0,11.3,31.7,0,31.6295,-7.9811,16,9,Wednesday,2,False,Warm,No Rain,Calm,13.0,15,Low,Normal Conditions,False,False,False,False
Marrakech,2026-09-17,30.8,19.0,0.0,5,9.5,28.1,3,31.6295,-7.9811,17,9,Thursday,3,False,Warm,No Rain,Calm,11.8,5,Low,Normal Conditions,False,False,False,False
Marrakech,2026-09-18,32.5,19.0,0.0,3,7.9,24.8,3,31.6295,-7.9811,18,9,Friday,4,False,Warm,No Rain,Calm,13.5,5,Low,Normal Conditions,False,False,False,False
Marrakech,2026-09-19,36.3,21.4,0.0,8,7.8,25.6,2,31.6295,-7.9811,19,9,Saturday,5,True,Hot,No Rain,Calm,14.9,15,Low,High Temperature,False,False,False,False
Marrakech,2026-09-20,39.0,23.0,0.0,4,14.7,24.8,3,31.6295,-7.9811,20,9,Sunday,6,True,Hot,No Rain,Calm,16.0,25,Medium,High Temperature,False,False,False,False
Marrakech,2026-09-21,34.5,23.6,0.0,5,17.0,31.3,3,31.6295,-7.9811,21,9,Monday,7,False,Warm,No Rain,Calm,10.9,15,Low,Normal Conditions,False,False,False,False
Sale,2026-09-15,28.2,21.6,0.0,0,12.1,31.3,45,34.05,-6.8167,15,9,Tuesday,1,False,Warm,No Rain,Calm,6.6,0,Low,Normal Conditions,False,False,False,False
Sale,2026-09-16,26.3,20.9,0.0,0,15.1,37.8,3,34.05,-6.8167,16,9,Wednesday,2,False,Warm,No Rain,Calm,5.4,0,Low,Normal Conditions,False,False,False,False
Sale,2026-09-17,26.2,19.2,0.0,0,11.7,30.6,3,34.05,-6.8167,17,9,Thursday,3,False,Warm,No Rain,Calm,7.0,0,Low,Normal Conditions,False,False,False,False
Sale,2026-09-18,25.9,18.0,0.0,3,12.6,32.4,45,34.05,-6.8167,18,9,Friday,4,False,Warm,No Rain,Calm,7.9,0,Low,Normal Conditions,False,False,False,False
Sale,2026-09-19,29.5,17.0,0.0,2,12.3,31.7,45,34.05,-6.8167,19,9,Saturday,5,True,Warm,No Rain,Calm,12.5,0,Low,Normal Conditions,False,False,False,False
Sale,2026-09-20,33.5,21.5,0.0,2,13.6,32.0,1,34.05,-6.8167,20,9,Sunday,6,True,Warm,No Rain,Calm,12.0,15,Low,Normal Conditions,False,False,False,False
Sale,2026-09-21,28.4,20.3,0.0,0,11.8,27.7,0,34.05,-6.8167,21,9,Monday,7,False,Warm,No Rain,Calm,8.1,0,Low,Normal Conditions,False,False,False,False
Tangier,2026-09-15,30.6,21.7,0.0,0,13.4,31.7,0,35.7767,-5.8039,15,9,Tuesday,1,False,Warm,No Rain,Calm,8.9,5,Low,Normal Conditions,False,False,False,False
Tangier,2026-09-16,27.0,18.1,0.0,0,18.8,44.3,3,35.7767,-5.8039,16,9,Wednesday,2,False,Warm,No Rain,Calm,8.9,4,Low,Normal Conditions,False,False,False,False
Tangier,2026-09-17,26.6,18.4,0.0,0,12.9,30.2,3,35.7767,-5.8039,17,9,Thursday,3,False,Warm,No Rain,Calm,8.2,0,Low,Normal Conditions,False,False,False,False
