city,date,temp_max,temp_min,precipitation,precip_probability,wind_speed,wind_gust,weather_code,latitude,longitude
Casablanca,2026-09-15,28.8,21.6,0.0,0,10.7,29.9,45,33.5992,-7.62
Casablanca,2026-09-16,25.9,21.0,0.0,0,14.1,36.0,45,33.5992,-7.62
Casablanca,2026-09-17,25.7,19.9,0.0,0,12.0,33.8,3,33.5992,-7.62
Casablanca,2026-09-18,25.9,19.5,0.0,3,13.0,35.6,45,33.5992,-7.62
Casablanca,2026-09-19,26.7,19.4,0.0,0,12.4,32.8,2,33.5992,-7.62
Casablanca,2026-09-20,31.8,20.6,0.0,0,11.6,29.9,2,33.5992,-7.62
Casablanca,2026-09-21,30.3,21.6,0.0,0,13.6,36.0,2,33.5992,-7.62
Fès,2026-09-15,34.8,24.0,0.0,0,14.3,37.1,1,34.0433,-5.0033
Fès,2026-09-16,31.7,21.0,0.0,0,17.1,41.4,2,34.0433,-5.0033
Fès,2026-09-17,29.3,19.2,0.0,0,12.7,33.5,3,34.0433,-5.0033
Fès,2026-09-18,30.7,18.4,0.0,5,9.9,27.0,2,34.0433,-5.0033
Fès,2026-09-19,33.4,20.9,0.0,3,18.8,47.5,2,34.0433,-5.0033
Fès,2026-09-20,33.9,22.4,0.0,0,20.0,48.6,1,34.0433,-5.0033
Fès,2026-09-21,33.8,21.5,0.0,0,14.4,37.4,0,34.0433,-5.0033
Marrakech,2026-09-15,38.4,25.5,0.0,3,13.1,38.2,3,31.6295,-7.9811
Marrakech,2026-09-16,34.8,21.8,0.0,0,11.3,31.7,0,31.6295,-7.9811
Marrakech,2026-09-17,30.8,19.0,0.0,5,9.5,28.1,3,31.6295,-7.9811
Marrakech,2026-09-18,32.5,19.0,0.0,3,7.9,24.8,3,31.6295,-7.9811
Marrakech,2026-09-19,36.3,21.4,0.0,8,7.8,25.6,2,31.6295,-7.9811
Marrakech,2026-09-20,39.0,23.0,0.0,4,14.7,24.8,3,31.6295,-7.9811
Marrakech,2026-09-21,34.5,23.6,0.0,5,17.0,31.3,3,31.6295,-7.9811
Sale,2026-09-15,28.2,21.6,0.0,0,12.1,31.3,45,34.05,-6.8167
Sale,2026-09-16,26.3,20.9,0.0,0,15.1,37.8,3,34.05,-6.8167
Sale,2026-09-17,26.2,19.2,0.0,0,11.7,30.6,3,34.05,-6.8167
Sale,2026-09-18,25.9,18.0,0.0,3,12.6,32.4,45,34.05,-6.8167
Sale,2026-09-19,29.5,17.0,0.0,2,12.3,31.7,45,34.05,-6.8167
Sale,2026-09-20,33.5,21.5,0.0,2,13.6,32.0,1,34.05,-6.8167
Sale,2026-09-21,28.4,20.3,0.0,0,11.8,27.7,0,34.05,-6.8167
Tangier,2026-09-15,30.6,21.7,0.0,0,13.4,31.7,0,35.7767,-5.8039
Tangier,2026-09-16,27.0,18.1,0.0,0,18.8,44.3,3,35.7767,-5.8039
Tangier,2026-09-17,26.6,18.4,0.0,0,12.9,30.2,3,35.7767,-5.8039
Tangier,2026-09-18,28.7,19.5,0.0,0,17.1,41.8,3,35.7767,-5.8039
Tangier,2026-09-19,27.5,22.2,0.0,0,32.5,77.4,2,35.7767,-5.8039
Tangier,2026-09-20,25.5,22.1,0.0,0,45.7,88.2,2,35.7767,-5.8039
Tangier,2026-09-21,25.6,21.9,0.0,0,42.9,80.6,2,35.7767,-5.8039
